date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:05	3699/3699	---M--	200	added ('OK')	text/html	etag:W/%22e73-1972d063130%22	https://chocolet1.glitch.me/	C:/My%20Web%20Sites/Chocolet/chocolet1.glitch.me/index.html	(from )
20:39:05	1214/1214	---M--	404	error ('Not%20Found')	text/html	etag:W/%224be-1972c372160%22	https://chocolet1.glitch.me/robots.txt		(from )
20:39:06	89947/89947	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15f5b%22	https://code.jquery.com/jquery-3.6.3.min.js	C:/My%20Web%20Sites/Chocolet/code.jquery.com/jquery-3.6.3.min.js	(from https://chocolet1.glitch.me/)
20:39:06	1214/1214	---M--	404	error ('Not%20Found')	text/html	etag:W/%224be-1972c372160%22	https://chocolet1.glitch.me/js/themes.js	C:/My%20Web%20Sites/Chocolet/chocolet1.glitch.me/js/themes.js	(from https://chocolet1.glitch.me/)
20:39:06	101894/101894	---M-Z	200	added ('OK')	text/css	etag:%226373d4a6-545d%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	C:/My%20Web%20Sites/Chocolet/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	(from https://chocolet1.glitch.me/)
20:39:07	75076/75076	---M--	200	added ('OK')	text/css	etag:W/%2212544-1972cf8ac40%22	https://chocolet1.glitch.me/main.css	C:/My%20Web%20Sites/Chocolet/chocolet1.glitch.me/main.css	(from https://chocolet1.glitch.me/)
20:39:07	92353/92353	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Jun%202025%2000:39:07%20GMT	https://raw.githubusercontent.com/notalicialol/Chocolet/refs/heads/main/frontend/public/logo.png	C:/My%20Web%20Sites/Chocolet/raw.githubusercontent.com/notalicialol/Chocolet/refs/heads/main/frontend/public/logo.png	(from https://chocolet1.glitch.me/)
20:39:07	25424/25424	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jun%202025%2003:06:05%20GMT	https://i.ibb.co/S4BD0J48/download.png	C:/My%20Web%20Sites/Chocolet/i.ibb.co/S4BD0J48/download.png	(from https://chocolet1.glitch.me/)
20:39:08	164004/164004	---M--	200	added ('OK')	image/png	etag:%226827eb62-280a4%22	https://files.catbox.moe/rybwg5.png	C:/My%20Web%20Sites/Chocolet/files.catbox.moe/rybwg5.png	(from https://chocolet1.glitch.me/)
20:39:08	2631/2631	---M--	200	added ('OK')	text/html	etag:W/%22a47-1972cec34d8%22	https://chocolet1.glitch.me/register	C:/My%20Web%20Sites/Chocolet/chocolet1.glitch.me/register.html	(from https://chocolet1.glitch.me/)
